"","x"
"182",171500
"183",112000
"184",149000
"185",110000
"186",180500
"187",143900
"188",141000
"189",277000
"190",145000
"191",186000
"192",252678
"193",156000
"194",161750
"195",134450
"196",210000
"197",107000
"198",311500
"199",167240
"200",204900
"201",200000
"202",179900
"203",97000
"204",386250
"205",112000
"206",290000
"207",106000
"208",125000
"209",192500
"210",148000
"211",403000
"212",94500
"213",128200
"214",89500
"215",185500
"216",194500
"217",318000
"218",113000
"219",262500
"220",79000
"221",120000
"222",205000
"223",241500
"224",137000
"225",140000
"226",180000
"227",277000
"228",235000
"229",173000
"230",158000
"231",145000
"232",230000
"233",207500
"234",220000
"235",231500
"236",176000
"237",276000
"238",151000
"239",130000
"240",73000
"241",175500
"242",185000
"243",179500
"244",120500
"245",148000
"246",266000
"247",241500
"248",290000
"249",139000
"250",124500
"251",205000
"252",201000
"253",141000
"254",415298
"255",192000
"256",228500
"257",185000
"258",207500
"259",244600
"260",179200
"261",164700
"262",159000
"263",122000
"264",153575
"265",233230
"266",131000
"267",235000
"268",167000
"269",142500
"270",152000
"271",239000
"272",175000
"273",158500
"274",157000
"275",267000
"276",205000
"277",149900
"278",295000
"279",305900
"280",225000
"281",82500
"282",360000
"283",165600
"284",132000
"285",119900
"286",375000
"287",178000
"288",188500
"289",260000
"290",270000
"291",260000
"292",187500
"293",342643
"294",354000
"295",301000
"296",126175
"297",242000
"298",87000
"299",324000
"300",145250
"301",214500
"302",78000
"303",119000
"304",139000
"305",207000
"306",192000
"307",228950
"308",377426
"309",214000
"310",202500
"311",155000
"312",202900
"313",82000
"314",266000
"315",85000
"316",140200
"317",151500
"318",157500
"319",154000
"320",437154
"321",318061
"322",190000
"323",95000
"324",105900
"325",140000
"326",177500
"327",173000
"328",134000
"329",130000
"330",280000
"331",156000
"332",145000
"333",118000
"334",190000
"335",147000
"336",159000
"337",165000
"338",132000
"339",162000
"340",172400
"341",125000
"342",123000
"343",219500
"344",148000
"345",340000
"346",394432
"347",179000
"348",127000
"349",187750
"350",213500
"351",76000
"352",240000
"353",192000
"354",125000
"355",191000
"356",426000
"357",119000
"358",215000
"359",109000
"360",129000
"361",123000
"362",169500
"363",67000
"364",241000
"365",245500
"366",164990
"367",108000
"368",258000
"369",168000
"370",150000
"371",115000
"372",177000
"373",280000
"374",339750
"375",60000
"376",145000
"377",222000
"378",115000
"379",228000
"380",181134
"381",149500
"382",239000
"383",126000
"384",142000
"385",206300
"386",215000
"387",113000
"388",315000
"389",139000
"390",135000
"391",275000
"392",109008
"393",195400
"394",175000
"395",85400
"396",122500
"397",181000
"398",212000
"399",116000
"400",119000
"401",90350
"402",110000
"403",555000
"404",162900
"405",172500
"406",210000
"407",127500
"408",190000
"409",199900
"410",119500
"411",120000
"412",110000
"413",280000
"414",204000
"415",210000
"416",188000
"417",175500
"418",98000
"419",256000
"420",161000
"421",110000
"422",263435
"423",155000
"424",62383
"425",188700
"426",178740
"427",167000
"428",146500
"429",250000
"430",187000
"431",212000
"432",190000
"433",148000
"434",440000
"435",251000
"436",132500
"437",208900
"438",380000
"439",297000
"440",89471
"441",326000
"442",374000
"443",155000
"444",164000
"445",132500
"446",147000
"447",156000
"448",175000
"449",160000
"450",86000
"451",115000
"452",133000
"453",172785
"454",155000
"455",91300
"456",430000
"457",184000
"458",130000
"459",120000
"460",113000
"461",226700
"462",140000
"463",289000
"464",147000
"465",124500
"466",215000
"467",208300
"468",161000
"469",124500
"470",164900
"471",202665
"472",129900
"473",134000
"474",96500
"475",402861
"476",158000
"477",265000
"478",211000
"479",234000
"480",150000
"481",159000
"482",184750
"483",315750
"484",176000
"485",132000
"486",446261
"487",175000
"488",128000
"489",178000
"490",188000
"491",111250
"492",158000
"493",272000
"494",315000
"495",248000
"496",213250
"497",133000
"498",179665
"499",229000
"500",210000
"501",129500
"502",125000
"503",263000
"504",140000
"505",112500
"506",255500
"507",284000
"508",113000
"509",141000
"510",108000
"511",175000
"512",234000
"513",121500
"514",170000
"515",185000
"516",268000
"517",128000
"518",325000
"519",214000
"520",316600
"521",135960
"522",142600
"523",120000
"524",224500
"525",170000
"526",139000
"527",118500
"528",145000
"529",164500
"530",146000
"531",131500
"532",181900
"533",253293
"534",325000
"535",133000
"536",369900
"537",130000
"538",137000
"539",143000
"540",79500
"541",185900
"542",451950
"543",138000
"544",140000
"545",110000
"546",319000
"547",114504
"548",194201
"549",217500
"550",151000
"551",275000
"552",141000
"553",220000
"554",151000
"555",221000
"556",205000
"557",152000
"558",225000
"559",359100
"560",118500
"561",313000
"562",148000
"563",261500
"564",137500
"565",183200
"566",105500
"567",314813
"568",305000
"569",240000
"570",135000
"571",168500
"572",165150
"573",160000
"574",139900
"575",153000
"576",135000
"577",168500
"578",124000
"579",209500
"580",82500
"581",139400
"582",144000
"583",93000
"584",264561
"585",274000
"586",226000
"587",345000
"588",152000
"589",370878
"590",143250
"591",155000
"592",155000
"593",108000
"594",191000
"595",135000
"596",350000
"597",88000
"598",145500
"599",149000
"600",97500
"601",167000
"602",197900
"603",402000
"604",110000
"605",137500
"606",423000
"607",230500
"608",129000
"609",193500
"610",168000
"611",137500
"612",173500
"613",103600
"614",165000
"615",257500
"616",140000
"617",148500
"618",87000
"619",109500
"620",372500
"621",128500
"622",143000
"623",159434
"624",173000
"625",285000
"626",221000
"627",207500
"628",227875
"629",148800
"630",392000
"631",194700
"632",141000
"633",755000
"634",335000
"635",108480
"636",141500
"637",176000
"638",89000
"639",123500
"640",138500
"641",196000
"642",312500
"643",140000
"644",361919
"645",140000
"646",213000
"647",302000
"648",254000
"649",179540
"650",109900
"651",102776
"652",189000
"653",129000
"654",130500
"655",165000
"656",159500
"657",157000
"658",341000
"659",128500
"660",275000
"661",143000
"662",124500
"663",135000
"664",320000
"665",120500
"666",222000
"667",194500
"668",110000
"669",103000
"670",236500
"671",187500
"672",222500
"673",131400
"674",108000
"675",163000
"676",239900
"677",190000
"678",132000
"679",142000
"680",179000
"681",175000
"682",180000
"683",299800
"684",236000
"685",265979
"686",260400
"687",162000
"688",217000
"689",275500
"690",156000
"691",172500
"692",212000
"693",158900
"694",179400
"695",290000
"696",127500
"697",100000
"698",215200
"699",337000
"700",270000
"701",264132
"702",196500
"703",160000
"704",216837
"705",538000
"706",134900
"707",102000
"708",107000
"709",114500
"710",395000
"711",162000
"712",221500
"713",142500
"714",135000
"715",176000
"716",175900
"717",187100
"718",165500
"719",161500
"720",139000
"721",233000
"722",107900
"723",187500
"724",160200
"725",146800
"726",269790
"727",225000
"728",194500
"729",171000
"730",143500
"731",110000
"732",485000
"733",175000
"734",200000
"735",109900
"736",189000
"737",582933
"738",118000
"739",227680
"740",135500
"741",223500
"742",159950
"743",106000
"744",181000
"745",144500
"746",55993
"747",157900
"748",116000
"749",224900
"750",137000
"751",271000
"752",155000
"753",224000
"754",183000
"755",93000
"756",225000
"757",139500
"758",232600
"759",385000
"760",189000
"761",185000
"762",147400
"763",166000
"764",151000
"765",237000
"766",167000
"767",139950
"768",128000
"769",153500
"770",100000
"771",144000
"772",130500
"773",140000
"774",157500
"775",174900
"776",153900
"777",171000
"778",213000
"779",133500
"780",240000
"781",187000
"782",131500
"783",215000
"784",164000
"785",158000
"786",170000
"787",127000
"788",147000
"789",174000
"790",152000
"791",250000
"792",189950
"793",131500
"794",152000
"795",132500
"796",250580
"797",148500
"798",248900
"799",129000
"800",236000
"801",109500
"802",200500
"803",116000
"804",133000
"805",66500
"806",303477
"807",132250
"808",350000
"809",148000
"810",136500
"811",157000
"812",187500
"813",178000
"814",118500
"815",100000
"816",328900
"817",145000
"818",135500
"819",268000
"820",149500
"821",122900
"822",172500
"823",154500
"824",165000
"825",140000
"826",106500
"827",611657
"828",135000
"829",110000
"830",153000
"831",180000
"832",240000
"833",125500
"834",128000
"835",255000
"836",250000
"837",131000
"838",174000
"839",154300
"840",143500
"841",88000
"842",145000
"843",173733
"844",75000
"845",35311
"846",135000
"847",238000
"848",176500
"849",201000
"850",169990
"851",193000
"852",207500
"853",175000
"854",285000
"855",176000
"856",236500
"857",222000
"858",201000
"859",117500
"860",320000
"861",190000
"862",242000
"863",79900
"864",253000
"865",239799
"866",244400
"867",150900
"868",214000
"869",143000
"870",137500
"871",124900
"872",143000
"873",270000
"874",197500
"875",129000
"876",119900
"877",133900
"878",172000
"879",145000
"880",124000
"881",132000
"882",185000
"883",155000
"884",272000
"885",155000
"886",239000
"887",214900
"888",178900
"889",160000
"890",135000
"891",140000
"892",173000
"893",99500
"894",167500
"895",165000
"896",110000
"897",139000
"898",178400
"899",336000
"900",159895
"901",255900
"902",125000
"903",117000
"904",395192
"905",195000
"906",197000
"907",348000
"908",168000
"909",187000
"910",173900
"911",337500
"912",121600
"913",136500
"914",185000
"915",91000
"916",206000
"917",86000
"918",232000
"919",136905
"920",181000
"921",149900
"922",163500
"923",88000
"924",240000
"925",135000
"926",165000
"927",85000
"928",119200
"929",227000
"930",203000
"931",187500
"932",160000
"933",213490
"934",176000
"935",194000
"936",87000
"937",191000
"938",287000
"939",112500
"940",167500
"941",293077
"942",105000
"943",118000
"944",197000
"945",310000
"946",230000
"947",119750
"948",315500
"949",287000
"950",80000
"951",155000
"952",173000
"953",196000
"954",262280
"955",278000
"956",556581
"957",145000
"958",176485
"959",200141
"960",165000
"961",144500
"962",255000
"963",180000
"964",185850
"965",248000
"966",335000
"967",220000
"968",213500
"969",81000
"970",90000
"971",110500
"972",154000
"973",328000
"974",178000
"975",167900
"976",151400
"977",135000
"978",135000
"979",154000
"980",91500
"981",159500
"982",194000
"983",219500
"984",170000
"985",138800
"986",155900
"987",126000
"988",145000
"989",133000
"990",192000
"991",160000
"992",187500
"993",147000
"994",83500
"995",252000
"996",137500
"997",197000
"998",160000
"999",136500
"1000",146000
"1001",129000
"1002",176432
"1003",170000
"1004",128000
"1005",157000
"1006",60000
"1007",119500
"1008",135000
"1009",159500
"1010",106000
"1011",325000
"1012",179900
"1013",274725
"1014",181000
"1015",280000
"1016",188000
"1017",205000
"1018",129900
"1019",134500
"1020",117000
"1021",318000
"1022",184100
"1023",130000
"1024",140000
"1025",133700
"1026",118400
"1027",212900
"1028",112000
"1029",163900
"1030",115000
"1031",174000
"1032",259000
"1033",215000
"1034",140000
"1035",135000
"1036",117500
"1037",239500
"1038",169000
"1039",102000
"1040",119000
"1041",196000
"1042",144000
"1043",139000
"1044",197500
"1045",424870
"1046",80000
"1047",149000
"1048",180000
"1049",174500
"1050",116900
"1051",143000
"1052",124000
"1053",149900
"1054",230000
"1055",120500
"1056",201800
"1057",218000
"1058",179900
"1059",230000
"1060",235128
"1061",185000
"1062",146000
"1063",224000
"1064",129000
"1065",108959
"1066",194000
"1067",233170
"1068",245350
"1069",173000
"1070",235000
"1071",625000
"1072",171000
"1073",163000
"1074",171900
"1075",239000
"1076",285000
"1077",119500
"1078",115000
"1079",154900
"1080",250000
"1081",392500
"1082",745000
"1083",120000
"1084",186700
"1085",104900
"1086",95000
"1087",262000
"1088",195000
"1089",189000
"1090",168000
"1091",174000
"1092",125000
"1093",165000
"1094",158000
"1095",176000
"1096",219210
"1097",144000
"1098",178000
"1099",148000
"1100",116050
"1101",197900
"1102",117000
"1103",213000
"1104",153500
"1105",271900
"1106",107000
"1107",200000
"1108",140000
"1109",290000
"1110",189000
"1111",164000
"1112",113000
"1113",145000
"1114",134500
"1115",125000
"1116",229456
"1117",115000
"1118",134000
"1119",143000
"1120",137900
"1121",184000
"1122",145000
"1123",214000
"1124",147000
"1125",367294
"1126",127000
"1127",190000
"1128",132500
"1129",142000
"1130",138887
"1131",175500
"1132",195000
"1133",142500
"1134",265900
"1135",224900
"1136",248328
"1137",170000
"1138",230000
"1139",178000
"1140",186500
"1141",169900
"1142",129500
"1143",119000
"1144",244000
"1145",171750
"1146",130000
"1147",294000
"1148",165400
"1149",127500
"1150",301500
"1151",190000
"1152",151000
"1153",181000
"1154",128900
"1155",161500
"1156",180500
"1157",181000
"1158",183900
"1159",122000
"1160",378500
"1161",381000
"1162",144000
"1163",260000
"1164",185750
"1165",137000
"1166",177000
"1167",139000
"1168",137000
"1169",162000
"1170",197900
"1171",68400
"1172",227000
"1173",180000
"1174",150500
"1175",169000
"1176",132500
"1177",143000
"1178",190000
"1179",278000
"1180",281000
"1181",180500
"1182",119500
"1183",107500
"1184",162900
"1185",115000
"1186",138500
"1187",155000
"1188",140000
"1189",160000
"1190",154000
"1191",225000
"1192",177500
"1193",290000
"1194",232000
"1195",130000
"1196",325000
"1197",202500
"1198",138000
"1199",147000
"1200",179200
"1201",335000
"1202",203000
"1203",302000
"1204",333168
"1205",119000
"1206",206900
"1207",295493
"1208",208900
"1209",275000
"1210",111000
"1211",156500
"1212",190000
"1213",147000
"1214",130500
"1215",256000
"1216",176500
"1217",227000
"1218",132500
"1219",100000
"1220",125500
"1221",125000
"1222",167900
"1223",135000
"1224",200000
"1225",128500
"1226",123000
"1227",155000
"1228",228500
"1229",177000
"1230",155835
"1231",108500
"1232",262500
"1233",283463
"1234",215000
"1235",200000
"1236",171000
"1237",134900
"1238",410000
"1239",235000
"1240",170000
"1241",110000
"1242",149900
"1243",177500
"1244",315000
"1245",189000
"1246",260000
"1247",104900
"1248",156932
"1249",144152
"1250",216000
"1251",193000
"1252",127000
"1253",144000
"1254",232000
"1255",105000
"1256",165500
"1257",274300
"1258",466500
"1259",250000
"1260",239000
"1261",91000
"1262",117000
"1263",83000
"1264",58500
"1265",237500
"1266",157000
"1267",112000
"1268",105000
"1269",125500
"1270",250000
"1271",136000
"1272",377500
"1273",131000
"1274",235000
"1275",124000
"1276",123000
"1277",163000
"1278",246578
"1279",281213
"1280",160000
"1281",137500
"1282",138000
"1283",137450
"1284",120000
"1285",193000
"1286",193879
"1287",282922
"1288",105000
"1289",275000
"1290",133000
"1291",125500
"1292",215000
"1293",230000
"1294",140000
"1295",257000
"1296",207000
"1297",175900
"1298",122500
"1299",340000
"1300",124000
"1301",223000
"1302",179900
"1303",127500
"1304",136500
"1305",274970
"1306",144000
"1307",142000
"1308",271000
"1309",140000
"1310",119000
"1311",182900
"1312",192140
"1313",143750
"1314",64500
"1315",186500
"1316",160000
"1317",174000
"1318",120500
"1319",394617
"1320",149700
"1321",197000
"1322",191000
"1323",149300
"1324",310000
"1325",121000
"1326",179600
"1327",129000
"1328",157900
"1329",240000
"1330",112000
"1331",287090
"1332",145000
"1333",185000
"1334",175000
"1335",210000
"1336",266500
"1337",142125
"1338",147500
